hgnc_id,approved_symbol,ensembl_gene_id,source_group_ids
HGNC:24114,AURKAIP1,ENSG00000175756,646
HGNC:23518,CHCHD1,ENSG00000172586,646
HGNC:2673,DAP3,ENSG00000132676,646
HGNC:3597,FAU,ENSG00000149806,728
HGNC:29996,GADD45GIP1,ENSG00000179271,646
HGNC:14275,MRPL1,ENSG00000169288,646
HGNC:14055,MRPL10,ENSG00000159111,646
HGNC:14042,MRPL11,ENSG00000174547,646
HGNC:10378,MRPL12,ENSG00000262814,646
HGNC:14278,MRPL13,ENSG00000172172,646
HGNC:14279,MRPL14,ENSG00000180992,646
HGNC:14054,MRPL15,ENSG00000137547,646
HGNC:14476,MRPL16,ENSG00000166902,646
HGNC:14053,MRPL17,ENSG00000158042,646
HGNC:14477,MRPL18,ENSG00000112110,646
HGNC:14052,MRPL19,ENSG00000115364,646
HGNC:14056,MRPL2,ENSG00000112651,646
HGNC:14478,MRPL20,ENSG00000242485,646
HGNC:14479,MRPL21,ENSG00000197345,646
HGNC:14480,MRPL22,ENSG00000082515,646
HGNC:10322,MRPL23,ENSG00000214026,646
HGNC:14037,MRPL24,ENSG00000143314,646
HGNC:14483,MRPL27,ENSG00000108826,646
HGNC:14484,MRPL28,ENSG00000086504,646
HGNC:10379,MRPL3,ENSG00000114686,646
HGNC:14036,MRPL30,ENSG00000185414,646
HGNC:14035,MRPL32,ENSG00000106591,646
HGNC:14487,MRPL33,ENSG00000243147,646
HGNC:14488,MRPL34,ENSG00000130312,646
HGNC:14489,MRPL35,ENSG00000132313,646
HGNC:14490,MRPL36,ENSG00000171421,646
HGNC:14034,MRPL37,ENSG00000116221,646
HGNC:14033,MRPL38,ENSG00000204316,646
HGNC:14027,MRPL39,ENSG00000154719,646
HGNC:14276,MRPL4,ENSG00000105364,646
HGNC:14491,MRPL40,ENSG00000185608,646
HGNC:14492,MRPL41,ENSG00000182154,646
HGNC:14493,MRPL42,ENSG00000198015,646
HGNC:14517,MRPL43,ENSG00000055950,646
HGNC:16650,MRPL44,ENSG00000135900,646
HGNC:16651,MRPL45,ENSG00000278845,646
HGNC:1192,MRPL46,ENSG00000259494,646
HGNC:16652,MRPL47,ENSG00000136522,646
HGNC:16653,MRPL48,ENSG00000175581,646
HGNC:1176,MRPL49,ENSG00000149792,646
HGNC:16654,MRPL50,ENSG00000136897,646
HGNC:14044,MRPL51,ENSG00000111639,646
HGNC:16655,MRPL52,ENSG00000172590,646
HGNC:16684,MRPL53,ENSG00000204822,646
HGNC:16685,MRPL54,ENSG00000183617,646
HGNC:16686,MRPL55,ENSG00000162910,646
HGNC:14514,MRPL57,ENSG00000173141,646
HGNC:5359,MRPL58,ENSG00000167862,646
HGNC:14277,MRPL9,ENSG00000143436,646
HGNC:14502,MRPS10,ENSG00000048544,646
HGNC:14050,MRPS11,ENSG00000181991,646
HGNC:10380,MRPS12,ENSG00000128626,646
HGNC:14049,MRPS14,ENSG00000120333,646
HGNC:14504,MRPS15,ENSG00000116898,646
HGNC:14048,MRPS16,ENSG00000182180,646
HGNC:14047,MRPS17,ENSG00000239789,646
HGNC:14515,MRPS18A,ENSG00000096080,646
HGNC:14516,MRPS18B,ENSG00000204568,646
HGNC:16633,MRPS18C,ENSG00000163319,646
HGNC:14495,MRPS2,ENSG00000122140,646
HGNC:14046,MRPS21,ENSG00000266472,646
HGNC:14508,MRPS22,ENSG00000175110,646
HGNC:14509,MRPS23,ENSG00000181610,646
HGNC:14510,MRPS24,ENSG00000062582,646
HGNC:14511,MRPS25,ENSG00000131368,646
HGNC:14045,MRPS26,ENSG00000125901,646
HGNC:14512,MRPS27,ENSG00000113048,646
HGNC:14513,MRPS28,ENSG00000147586,646
HGNC:8769,MRPS30,ENSG00000112996,646
HGNC:16632,MRPS31,ENSG00000102738,646
HGNC:16634,MRPS33,ENSG00000090263,646
HGNC:16618,MRPS34,ENSG00000074071,646
HGNC:16635,MRPS35,ENSG00000061794,646
