gene,token_id,norm,dist_from_centroid,cos_to_centroid,norm_zscore,dist_zscore,cos_zscore,is_outlier,pca_1,pca_2,isolation_score,isolation_zscore,anomaly_score
A1BG,0,26.154284,26.150537,0.019785438,-2.245005,-2.2490313,0.30551922,False,-0.738221,0.46714842,0.87882537,1.4673624,2.2490313
A1CF,1,27.28093,27.276068,0.024052758,-0.60055995,-0.60607,0.42642322,False,0.46210912,-1.1972187,0.86804235,-1.1731281,1.1731281
A2M,2,27.288197,27.283773,0.02228929,-0.5899531,-0.5948218,0.3764597,False,-0.6156288,1.7600561,0.877425,1.1244515,1.1244515
A2ML1,3,27.40072,27.384,0.071532145,-0.42571378,-0.44851774,1.7716347,False,0.21221463,-1.4670208,0.86774045,-1.2470552,1.7716347
A3GALT2,4,27.73513,27.726425,0.039376844,0.06238839,0.051326707,0.86059344,False,0.76292276,-2.360267,0.868159,-1.1445643,1.1445643
A4GALT,5,27.229483,27.222183,0.033832565,-0.67565155,-0.68472636,0.7035099,False,-0.90335065,1.5230315,0.87768394,1.1878551,1.1878551
A4GNT,6,27.730875,27.72636,0.02258906,0.056177393,0.051232044,0.38495293,False,-0.89908266,-0.6539606,0.87614024,0.8098415,0.8098415
AAAS,7,27.57232,27.576994,-0.014197034,-0.17524707,-0.16680135,-0.6572904,False,-0.7144915,-0.3167762,0.87659615,0.9214839,0.9214839
AACS,8,27.39425,27.388906,0.025968669,-0.43515694,-0.44135678,0.48070586,False,-1.028807,1.0794127,0.8714504,-0.33857608,0.48070586
AADAC,9,28.618069,28.62756,-0.03367919,1.3511193,1.3667326,-1.2092694,False,-1.7047758,-1.1224803,0.87299937,0.040721957,1.3667326
AADACL2,10,27.999813,27.996943,0.015958583,0.4487176,0.44620684,0.19709471,False,-0.5569295,0.43609077,0.873082,0.060951576,0.4487176
AADACL3,11,28.378048,28.376228,0.011690814,1.0007867,0.9998587,0.07617799,False,-0.87492543,-0.17311761,0.8724939,-0.08304944,1.0007867
AADACL4,12,26.92862,26.923117,0.026681751,-1.1147895,-1.1212804,0.5009092,False,0.07325266,-1.2841358,0.87246877,-0.08920882,1.1212804
AADAT,13,28.367857,28.37053,-0.006309734,0.98591197,0.99153954,-0.4338232,False,-0.5053767,-1.5900093,0.8693837,-0.8446668,0.99153954
AAGAB,14,27.374277,27.364162,0.045084666,-0.4643105,-0.47747618,1.0223105,False,-1.6458417,0.14483957,0.8748266,0.48816723,1.0223105
AAK1,15,27.722128,27.715887,0.029503599,0.043410182,0.035944007,0.58085936,False,-1.536743,-0.26209012,0.87271386,-0.029191367,0.58085936
AAMDC,16,27.411999,27.406925,0.024887254,-0.40925226,-0.41505444,0.45006666,False,-1.7947998,-0.4382757,0.86886436,-0.971839,0.971839
AAMP,17,27.51921,27.503132,0.068948776,-0.25276625,-0.27461946,1.6984413,False,-0.22972152,-1.4434555,0.8771838,1.0653827,1.6984413
AANAT,18,27.509665,27.505747,0.020228885,-0.26669994,-0.27080232,0.3180832,False,-2.2214992,1.5566503,0.87647074,0.89077455,0.89077455
AAR2,19,26.435024,26.42489,0.045319755,-1.8352376,-1.8485521,1.0289712,False,-0.024564197,-0.43090844,0.8707455,-0.51119924,1.8485521
AARD,20,27.668129,27.661125,0.03257706,-0.035406318,-0.043993127,0.6679383,False,-0.30090457,-0.6314702,0.87221754,-0.15072963,0.6679383
AARS1,21,27.48448,27.478056,0.030274762,-0.30345926,-0.31122333,0.6027084,False,0.7054627,0.026024804,0.86651057,-1.5482225,1.5482225
AARS2,22,27.036083,27.046076,-0.035431806,-0.95793605,-0.9417942,-1.2589254,False,2.1093717,1.2420598,0.87276477,-0.016726654,1.2589254
AARSD1,23,27.249847,27.24711,0.015544317,-0.64592725,-0.6483397,0.1853575,False,-0.9591965,-1.0104159,0.8788055,1.4625021,1.4625021
AASDH,24,26.739317,26.73238,0.032459117,-1.3910941,-1.399703,0.6645967,False,0.3150221,1.6745517,0.8794158,1.6119473,1.6119473
AASDHPPT,25,28.428272,28.438974,-0.03850948,1.0740937,1.0914505,-1.3461237,False,-0.6711839,-1.268598,0.8759925,0.7736588,1.3461237
AASS,26,27.630575,27.630804,0.0035937035,-0.09021957,-0.088253535,-0.15323368,False,1.6176794,-0.86526334,0.87324446,0.100739405,0.15323368
AATF,27,27.559828,27.563105,-0.008599202,-0.19348197,-0.18707588,-0.49868962,False,-0.30265644,0.62533563,0.8727282,-0.025673807,0.49868962
AATK,28,27.191051,27.198309,-0.02449757,-0.7317454,-0.7195762,-0.9491307,False,-0.2875279,0.94537127,0.8688839,-0.9670516,0.9670516
ABAT,29,27.63893,27.636248,0.015256689,-0.078025855,-0.08030743,0.17720827,False,-0.39900973,1.1155818,0.872824,-0.002218544,0.17720827
ABCA1,30,27.672554,27.674467,-0.0031600834,-0.028947545,-0.024517655,-0.3445856,False,0.80117816,0.7591554,0.8736249,0.19390365,0.3445856
ABCA10,31,27.369379,27.375198,-0.01876329,-0.4714597,-0.4613668,-0.786664,False,2.7909913,-2.525986,0.87717515,1.0632664,1.0632664
ABCA12,32,28.812963,28.802109,0.047819052,1.6355864,1.6215258,1.0997826,False,0.37093678,1.4444464,0.8702143,-0.64127594,1.6355864
ABCA13,33,27.496939,27.50396,-0.023609255,-0.28527448,-0.2734111,-0.92396253,False,-0.5273099,2.00446,0.8723587,-0.116167046,0.92396253
ABCA2,34,28.576527,28.582706,-0.020400563,1.2904848,1.3012594,-0.8330521,False,0.03390834,-0.54515606,0.87241393,-0.102636844,1.3012594
ABCA3,35,27.59915,27.608294,-0.03212983,-0.13608798,-0.12111265,-1.1653721,False,-1.0668895,-0.82481927,0.8739274,0.26797676,1.1653721
ABCA4,36,27.621628,27.612108,0.042665206,-0.1032791,-0.11554425,0.95376104,False,0.30922163,1.9624364,0.8703392,-0.6106834,0.95376104
ABCA5,37,28.640617,28.65858,-0.067653425,1.3840312,1.4120148,-2.1718457,False,-1.1336709,-1.0759617,0.8764065,0.8750404,2.1718457
