stratum,outcome,model,n,n_outliers,estimate_kind,estimate,ci_low,ci_high,p
all genes,dep,Geneformer,18138,364,OR,4.144302052792755,3.0215091379492085,5.658389151406205,1.8746245612203475e-17
all genes,dep,scGPT,18138,92,OR,3.509873350260907,2.0099244745990066,6.020216338738,1.892325223088184e-05
all genes,dep,scFoundation,18138,149,OR,1.1499913739429093,0.643176818193166,1.938255726878066,0.6173971421153938
all genes,dep_strict,Geneformer,18138,364,OR,5.702106042910017,3.9931040886697082,8.09869873604122,4.472359363276475e-20
all genes,dep_strict,scGPT,18138,92,OR,3.4268055615042923,1.8430094465479259,6.179221256349311,0.00016715751134208193
all genes,dep_strict,scFoundation,18138,149,OR,1.6668858963708058,0.8544706807918296,2.9961772425758695,0.12617074632855177
all genes,dependency,Geneformer,18138,364,beta,-0.3575160273002704,-0.39782912258083836,-0.3172029320197024,3.9387967144975826e-67
all genes,dependency,scGPT,18138,92,beta,-0.27953367091726256,-0.35899506519523683,-0.20007227663928828,5.564047596213726e-12
all genes,dependency,scFoundation,18138,149,beta,-0.05960472053472,-0.12165723659488845,0.002447795525448458,0.05975926031964801
all genes,clinvar,Geneformer,18138,364,OR,0.9722041721704046,0.7639214419475742,1.235717218047486,0.8171651471634322
all genes,clinvar,scGPT,18138,92,OR,1.130758084619388,0.7087482015984155,1.8347597397435058,0.609661081182217
all genes,clinvar,scFoundation,18138,149,OR,0.9338909330432612,0.6549367853307183,1.3229932434246394,0.701305428169502
excluding ribosomal and mitochondrial,dep,Geneformer,17970,293,OR,1.399590437593901,0.8491855525303064,2.209899662174864,0.17956559117329637
excluding ribosomal and mitochondrial,dep,scGPT,17970,79,OR,2.5770667960796185,1.2705546733626436,4.891628064280667,0.010102874503974528
excluding ribosomal and mitochondrial,dep,scFoundation,17970,143,OR,0.8974279233591179,0.45237894002253487,1.6228815767773552,0.7270092638680061
excluding ribosomal and mitochondrial,dep_strict,Geneformer,17970,293,OR,1.21562413380629,0.6088288978697552,2.214131216845459,0.5499455914826401
excluding ribosomal and mitochondrial,dep_strict,scGPT,17970,79,OR,2.0814678867957985,0.801277451608054,4.622244529810433,0.12218121382522225
excluding ribosomal and mitochondrial,dep_strict,scFoundation,17970,143,OR,1.3308594615706908,0.598847902206201,2.595387612112385,0.44877037440258716
excluding ribosomal and mitochondrial,dependency,Geneformer,17970,293,beta,-0.005937546740462619,-0.048253726020115704,0.03637863253919047,0.7833077395814287
excluding ribosomal and mitochondrial,dependency,scGPT,17970,79,beta,-0.05441111608753035,-0.13532289797660949,0.02650066580154878,0.18750366169183988
excluding ribosomal and mitochondrial,dependency,scFoundation,17970,143,beta,-0.010653692630034215,-0.0704421675117546,0.04913478225168616,0.7269043105950046
excluding ribosomal and mitochondrial,clinvar,Geneformer,17970,293,OR,1.110652374812333,0.8470506491349206,1.4552271371618661,0.44694701156538164
excluding ribosomal and mitochondrial,clinvar,scGPT,17970,79,OR,1.307958449922437,0.777247989839423,2.2699968838985005,0.31754516865035115
excluding ribosomal and mitochondrial,clinvar,scFoundation,17970,143,OR,0.9465498045025843,0.658705057892611,1.351251795241278,0.7628049601355089
