gene,ensembl_id,token_id,anomaly_score_with_isolation,gene_class
RBFOX1,ENSG00000078328,1416,6.0411296,constrained
KCNIP4,ENSG00000185774,15348,5.429368,disease
MAGI2,ENSG00000187391,15683,5.331979,constrained
ST18,ENSG00000147488,8857,4.984153,other
B2M,ENSG00000166710,11717,4.93425,constrained
NRG3,ENSG00000185737,15340,4.7920713,other
FTH1,ENSG00000167996,12039,4.7905617,constrained
RPL21,ENSG00000122026,5175,4.757886,ribosomal
MYBPC3,ENSG00000134571,6825,4.7546124,disease
EEF1A1,ENSG00000156508,9847,4.6814756,constrained
RPS17,ENSG00000182774,14727,4.6715674,ribosomal
NRXN1,ENSG00000179915,14280,4.629853,constrained
TMSB4X,ENSG00000205542,17362,4.6078978,other
DLG2,ENSG00000150672,9187,4.593959,constrained
NRXN3,ENSG00000021645,410,4.584766,constrained
PHGR1,ENSG00000233041,18104,4.568875,other
FTL,ENSG00000087086,1711,4.5640535,disease
SYT1,ENSG00000067715,1016,4.5375676,constrained
RPL41,ENSG00000229117,18014,4.525567,ribosomal
ANK3,ENSG00000151150,9236,4.5078945,constrained
MT-CO1,ENSG00000198804,16868,4.500997,mitochondrial
RPL3,ENSG00000100316,2244,4.480109,ribosomal
VIM,ENSG00000026025,453,4.4719505,disease
RPL6,ENSG00000089009,1796,4.4628053,ribosomal
CADM2,ENSG00000175161,13524,4.462335,constrained
ADGRB3,ENSG00000135298,6941,4.4358315,constrained
CNTNAP2,ENSG00000174469,13406,4.4261913,disease
RPL14,ENSG00000188846,15987,4.400707,ribosomal
CSMD1,ENSG00000183117,14801,4.3908944,disease
RPL39,ENSG00000198918,16934,4.371497,ribosomal
RPS27,ENSG00000177954,13986,4.3673,ribosomal
PCDH9,ENSG00000184226,15027,4.343688,constrained
MYH2,ENSG00000125414,5579,4.31449,disease
S100A6,ENSG00000197956,16620,4.314434,other
TMSB10,ENSG00000034510,511,4.2848134,other
RPS26,ENSG00000197728,16555,4.26427,ribosomal
AHSP,ENSG00000169877,12456,4.256954,other
POTEE,ENSG00000188219,15854,4.243135,other
PTPRD,ENSG00000153707,9532,4.2427015,constrained
RPS5,ENSG00000083845,1605,4.239466,ribosomal
OPCML,ENSG00000183715,14922,4.228608,constrained
RPL26,ENSG00000161970,10494,4.2097573,ribosomal
HBG2,ENSG00000196565,16262,4.204597,constrained
ANKS1B,ENSG00000185046,15195,4.163403,constrained
RPL36,ENSG00000130255,6154,4.151688,ribosomal
SH3BGRL3,ENSG00000142669,8155,4.151248,other
DLGAP1,ENSG00000170579,12618,4.1498013,constrained
RPL11,ENSG00000142676,8157,4.1199102,ribosomal
PLP1,ENSG00000123560,5342,4.1164517,disease
RACK1,ENSG00000204628,17207,4.1135716,constrained
