model,method,n_outliers,containment,jaccard,spearman_rho,top50_overlap,n_robust_core
Geneformer,|z|>3 (original),410,1.0,1.0,0.9557600829598378,50,410
Geneformer,MAD z>3,833,1.0,0.4921968787515006,0.9557600829598378,50,410
Geneformer,MAD z>3.5,376,0.8365853658536585,0.7742663656884876,0.9557600829598378,50,410
Geneformer,IQR k=3 (Tukey extreme),43,0.1048780487804878,0.1048780487804878,0.9557600829598378,50,410
Geneformer,Top-n by MAD score,410,0.8585365853658536,0.7521367521367521,0.9557600829598378,50,410
scGPT,|z|>3 (original),188,1.0,1.0,0.8580262334165234,22,156
scGPT,MAD z>3,668,0.8297872340425532,0.22285714285714286,0.8580262334165234,22,156
scGPT,MAD z>3.5,140,0.6170212765957447,0.5471698113207547,0.8580262334165234,22,156
scGPT,IQR k=3 (Tukey extreme),0,0.0,0.0,0.8580262334165234,22,156
scGPT,Top-n by MAD score,188,0.6648936170212766,0.49800796812749004,0.8580262334165234,22,156
scFoundation,|z|>3 (original),164,1.0,1.0,0.999095954709914,49,159
scFoundation,MAD z>3,162,0.9695121951219512,0.9520958083832335,0.999095954709914,49,159
scFoundation,MAD z>3.5,27,0.16463414634146342,0.16463414634146342,0.999095954709914,49,159
scFoundation,IQR k=3 (Tukey extreme),0,0.0,0.0,0.999095954709914,49,159
scFoundation,Top-n by MAD score,164,0.975609756097561,0.9523809523809523,0.999095954709914,49,159
