class,OR,p,n_outlier,n_total,model,method,n_outliers,jaccard_vs_original,p_corrected,significant
ribosomal,36.70743837787615,1.194727414965744e-69,68,175,Geneformer,z>3 (original),410,1.0,4.778909659862976e-69,True
mitochondrial,165.48333333333332,2.784740383219069e-15,10,13,Geneformer,z>3 (original),410,1.0,1.1138961532876276e-14,True
constrained,1.5938738577047906,0.00024056582117224076,88,2995,Geneformer,z>3 (original),410,1.0,0.000962263284688963,True
disease,0.537570031541198,1.737047289787438e-07,83,6453,Geneformer,z>3 (original),410,1.0,6.948189159149752e-07,True
ribosomal,19.133905013192614,4.4061561721641144e-57,75,175,Geneformer,MAD z>3,833,0.4921968787515006,1.7624624688656458e-56,True
mitochondrial,284.09744214372716,2.688243058762294e-16,12,13,Geneformer,MAD z>3,833,0.4921968787515006,1.0752972235049175e-15,True
constrained,1.336101416760148,0.001964905678290549,155,2995,Geneformer,MAD z>3,833,0.4921968787515006,0.007859622713162196,True
disease,0.5125412938955982,1.3883369020842338e-15,164,6453,Geneformer,MAD z>3,833,0.4921968787515006,5.553347608336935e-15,True
ribosomal,12.994464337366221,5.1364655534516636e-43,68,175,Geneformer,Percentile 1/99,1005,0.33113828786453436,2.0545862213806654e-42,True
mitochondrial,232.809667673716,2.571047239733907e-15,12,13,Geneformer,Percentile 1/99,1005,0.33113828786453436,1.0284188958935628e-14,True
constrained,1.1233770481903458,0.18615775958029396,163,2995,Geneformer,Percentile 1/99,1005,0.33113828786453436,0.7446310383211758,False
disease,0.3666549886106394,3.013019134430747e-35,152,6453,Geneformer,Percentile 1/99,1005,0.33113828786453436,1.2052076537722988e-34,True
ribosomal,0.7548547233172725,0.07374465404781365,94,175,Geneformer,GMM 2-component,12270,0.03341483292583537,0.2949786161912546,False
mitochondrial,inf,0.0026100591334125497,13,13,Geneformer,GMM 2-component,12270,0.03341483292583537,0.010440236533650199,True
constrained,0.5181016238440384,3.912078017683363e-61,1401,2995,Geneformer,GMM 2-component,12270,0.03341483292583537,1.5648312070733453e-60,True
disease,0.7156020870317437,1.0011170222362197e-27,3551,6453,Geneformer,GMM 2-component,12270,0.03341483292583537,4.004468088944879e-27,True
ribosomal,4.255259680454891,1.0476961814379905e-06,18,1487,scGPT,z>3 (original),188,1.0,4.190784725751962e-06,True
mitochondrial,144.5632333767927,1.4920073466552203e-19,11,37,scGPT,z>3 (original),188,1.0,5.968029386620881e-19,True
constrained,6.139670498992533,6.31714491115065e-19,45,2995,scGPT,z>3 (original),188,1.0,2.52685796446026e-18,True
disease,1.0571711055500939,0.8122792568901396,21,6453,scGPT,z>3 (original),188,1.0,1.0,False
ribosomal,3.596043470453321,3.5306004138189e-14,54,1487,scGPT,MAD z>3,668,0.22285714285714286,1.41224016552756e-13,True
mitochondrial,43.90317073170732,4.128651460302451e-15,12,37,scGPT,MAD z>3,668,0.22285714285714286,1.6514605841209804e-14,True
constrained,13.259867527416748,6.14989440978382e-160,259,2995,scGPT,MAD z>3,668,0.22285714285714286,2.459957763913528e-159,True
disease,2.112533420087543,1.1951625951034056e-12,133,6453,scGPT,MAD z>3,668,0.22285714285714286,4.7806503804136225e-12,True
ribosomal,3.2925472498272748,1.0166388981638593e-53,276,1487,scGPT,Percentile 1/99,4109,0.04575322462886347,4.0665555926554372e-53,True
mitochondrial,6.62650720039053,3.413404356018286e-06,12,37,scGPT,Percentile 1/99,4109,0.04575322462886347,1.3653617424073144e-05,True
constrained,3.044138262261031,5.928306327806459e-84,505,2995,scGPT,Percentile 1/99,4109,0.04575322462886347,2.3713225311225837e-83,True
disease,0.8086264786689803,0.00012887676326297771,365,6453,scGPT,Percentile 1/99,4109,0.04575322462886347,0.0005155070530519109,True
ribosomal,0.7187455823395364,0.31637180363356987,1478,1487,scGPT,GMM 2-component,60427,0.003111192016813676,1.0,False
mitochondrial,inf,1.0,37,37,scGPT,GMM 2-component,60427,0.003111192016813676,1.0,False
constrained,6.90483859734652,0.0003040810013540989,2993,2995,scGPT,GMM 2-component,60427,0.003111192016813676,0.0012163240054163956,True
disease,1.75301548079364,0.021696389389348612,6436,6453,scGPT,GMM 2-component,60427,0.003111192016813676,0.08678555755739445,False
ribosomal,3.565133883177042,0.015974817285802884,5,172,scFoundation,z>3 (original),164,1.0,0.06389926914321153,False
mitochondrial,2.086327782646801,0.3861763545129284,1,57,scFoundation,z>3 (original),164,1.0,1.0,False
constrained,0.8851980183843533,0.6654452707025709,23,2995,scFoundation,z>3 (original),164,1.0,1.0,False
disease,0.8447220487195503,0.36092693369612217,49,6453,scFoundation,z>3 (original),164,1.0,1.0,False
ribosomal,3.610931004233571,0.015225307737867266,5,172,scFoundation,MAD z>3,162,0.9520958083832335,0.060901230951469064,False
mitochondrial,2.112466725820763,0.3824965196936747,1,57,scFoundation,MAD z>3,162,0.9520958083832335,1.0,False
constrained,0.8076807509050065,0.44528167148573183,21,2995,scFoundation,MAD z>3,162,0.9520958083832335,1.0,False
disease,0.8346768560746127,0.3165130225862166,48,6453,scFoundation,MAD z>3,162,0.9520958083832335,1.0,False
ribosomal,1.4124538092617345,0.1961917225953408,14,172,scFoundation,Percentile 1/99,1141,0.1437335670464505,0.7847668903813632,False
mitochondrial,1.5295740790899242,0.388488932292009,5,57,scFoundation,Percentile 1/99,1141,0.1437335670464505,1.0,False
constrained,0.906721062718759,0.27351281545207307,164,2995,scFoundation,Percentile 1/99,1141,0.1437335670464505,1.0,False
disease,0.9701717103245279,0.650913433052511,375,6453,scFoundation,Percentile 1/99,1141,0.1437335670464505,1.0,False
ribosomal,0.5098234138951441,0.00014441201706140813,123,172,scFoundation,GMM 2-component,15992,0.009056273811754419,0.0005776480682456325,True
mitochondrial,0.7666018686900358,0.3805115840536515,45,57,scFoundation,GMM 2-component,15992,0.009056273811754419,1.0,False
constrained,0.755390389637073,3.519027322585731e-08,2380,2995,scFoundation,GMM 2-component,15992,0.009056273811754419,1.4076109290342924e-07,True
disease,0.9488400296001388,0.19337875265743867,5325,6453,scFoundation,GMM 2-component,15992,0.009056273811754419,0.7735150106297547,False
