model,method,n_outliers,jaccard_vs_original,overlap_with_original,unique_to_alt,unique_to_original
Geneformer,z>3 (original),410,1.0,410,0,0
Geneformer,MAD z>3,833,0.4921968787515006,410,423,0
Geneformer,Percentile 1/99,1005,0.33113828786453436,352,653,58
Geneformer,GMM 2-component,12270,0.03341483292583537,410,11860,0
scGPT,z>3 (original),188,1.0,188,0,0
scGPT,MAD z>3,668,0.22285714285714286,156,512,32
scGPT,Percentile 1/99,4109,0.04575322462886347,188,3921,0
scGPT,GMM 2-component,60427,0.003111192016813676,188,60239,0
scFoundation,z>3 (original),164,1.0,164,0,0
scFoundation,MAD z>3,162,0.9520958083832335,159,3,5
scFoundation,Percentile 1/99,1141,0.1437335670464505,164,977,0
scFoundation,GMM 2-component,15992,0.009056273811754419,145,15847,19
