model,source,gene_set,cls,scheme,n_set,n_in_class,OR,p
Geneformer,geometry_csv,all_GF_outliers,mitochondrial,mutually_exclusive,410,10,165.48333333333332,2.784740383219069e-15
Geneformer,geometry_csv,all_GF_outliers,mitochondrial,overlapping,410,10,165.48333333333332,2.784740383219069e-15
Geneformer,geometry_csv,all_GF_outliers,ribosomal,mutually_exclusive,410,74,44.8740795287187,3.453719417225578e-80
Geneformer,geometry_csv,all_GF_outliers,ribosomal,overlapping,410,74,44.8740795287187,3.453719417225578e-80
Geneformer,geometry_csv,all_GF_outliers,constrained,mutually_exclusive,410,83,1.4791341434312788,0.0024132714800486395
Geneformer,geometry_csv,all_GF_outliers,constrained,overlapping,410,139,2.984169450345379,7.327270796312551e-22
Geneformer,geometry_csv,all_GF_outliers,disease,mutually_exclusive,410,83,0.5374458135751784,1.738569900552756e-07
Geneformer,geometry_csv,all_GF_outliers,disease,overlapping,410,184,1.1814000932681985,0.10430625573676963
cross_model,table_s1,all_GF_outliers,constrained,mutually_exclusive,388,83,1.4606585554159224,0.0038378880453747485
cross_model,table_s1,all_GF_outliers,constrained,overlapping,388,139,2.9914232970329655,1.5353691995375491e-21
cross_model,table_s1,all_GF_outliers,disease,mutually_exclusive,388,83,0.5193094625864523,3.816457061721242e-08
cross_model,table_s1,all_GF_outliers,disease,overlapping,388,184,1.160379619073898,0.14815047775495715
cross_model,table_s1,shared_GF_scGPT,constrained,mutually_exclusive,72,31,4.054480605596329,3.487340331791818e-08
cross_model,table_s1,shared_GF_scGPT,constrained,overlapping,72,42,7.362325581395349,4.3458300927332116e-16
cross_model,table_s1,shared_GF_scGPT,disease,mutually_exclusive,72,12,0.3850621118012422,0.0016312412605692802
cross_model,table_s1,shared_GF_scGPT,disease,overlapping,72,53,3.59425988440489,4.97144852088862e-07
Geneformer,table_s1,all_Geneformer_outliers,ribosomal,overlapping,388,74,44.76735176308359,6.530796605648627e-80
Geneformer,table_s1,all_Geneformer_outliers,mitochondrial,overlapping,388,10,163.31569664902997,3.190682623802195e-15
scGPT,table_s1,all_scGPT_outliers,ribosomal,overlapping,102,14,18.90040532715692,4.2570678939497256e-13
scGPT,table_s1,all_scGPT_outliers,mitochondrial,overlapping,102,9,454.9596774193548,1.8909070538073816e-18
scFoundation,table_s1,all_scFoundation_outliers,ribosomal,overlapping,161,6,4.360117302052786,0.003480143978979913
scFoundation,table_s1,all_scFoundation_outliers,mitochondrial,overlapping,161,0,0.0,1.0
