tier,spec,gene_set,n_set,n_total,unadj_OR,unadj_p,adj_OR,ci_lo,ci_hi,adj_p,converged
PRIMARY,"Firth, all genes, profile-likelihood CI",gf,388,18911,1.160379619,0.1481504778,1.053302624,0.8225696676,1.347435955,0.6795067717,True
PRIMARY,"Firth, all genes, profile-likelihood CI",scgpt,102,18911,2.954220568,1.846552853e-07,1.220304266,0.761965377,1.98911523,0.4112264132,True
PRIMARY,"Firth, all genes, profile-likelihood CI",scfound,161,18911,0.801734971,0.1762250828,0.9798219862,0.6931297204,1.376067697,0.9047843431,True
PRIMARY,"Firth, all genes, profile-likelihood CI",shared,72,18911,3.594259884,4.971448521e-07,1.451339763,0.802093961,2.710645944,0.2218636584,True
SENSITIVITY,"Logistic, non-mitochondrial genes",gf,378,18898,1.097722023,0.373821956,1.053038965,0.8225933069,1.348042894,0.6817046987,True
SENSITIVITY,"Logistic, non-mitochondrial genes",scgpt,93,18898,2.580998782,1.252362926e-05,1.230012387,0.7601409114,1.990328964,0.3991679015,True
SENSITIVITY,"Logistic, non-mitochondrial genes",scfound,161,18898,0.8030044661,0.2016976343,0.9773232708,0.6933257752,1.377650752,0.8958133327,True
SENSITIVITY,"Logistic, non-mitochondrial genes",shared,64,18898,3.053584795,2.166021488e-05,1.472645077,0.7988271214,2.714834617,0.2148750239,True
DIAGNOSTIC,"Unpenalised logistic, all genes, mito covariate OMITTED (MIS-SPECIFIED: separating class left unadjusted)",gf,388,18911,1.160379619,0.1481504778,1.159557002,0.9091605003,1.478916473,0.2329797472,True
DIAGNOSTIC,"Unpenalised logistic, all genes, mito covariate OMITTED (MIS-SPECIFIED: separating class left unadjusted)",scgpt,102,18911,2.954220568,1.846552853e-07,1.708931512,1.064408562,2.743727379,0.02652719602,True
DIAGNOSTIC,"Unpenalised logistic, all genes, mito covariate OMITTED (MIS-SPECIFIED: separating class left unadjusted)",scfound,161,18911,0.801734971,0.1762250828,0.975093221,0.6918373857,1.374321205,0.8854606946,True
DIAGNOSTIC,"Unpenalised logistic, all genes, mito covariate OMITTED (MIS-SPECIFIED: separating class left unadjusted)",shared,72,18911,3.594259884,4.971448521e-07,2.278666543,1.257466249,4.129193304,0.006621102248,True
