dataset,arm,control_idx,mean_tokens_removed
pbmc3k,full,0,20.015921152388174
pbmc3k,full,1,20.33965125094769
pbmc3k,full,2,20.305155420773314
pbmc3k,full,3,20.699772554965882
pbmc3k,full,4,20.710007581501138
pbmc3k,full,5,20.173237300985594
pbmc3k,full,6,20.713419257012887
pbmc3k,full,7,21.022744503411676
pbmc3k,full,8,20.438210765731615
pbmc3k,full,9,21.144048521607278
pbmc3k,full,10,20.127748294162245
pbmc3k,full,11,20.21304018195603
pbmc3k,full,12,21.10841546626232
pbmc3k,full,13,20.43062926459439
pbmc3k,full,14,20.210386656557997
pbmc3k,full,15,20.55458680818802
pbmc3k,full,16,20.693328278999243
pbmc3k,full,17,20.516300227445033
pbmc3k,full,18,20.417740712661107
pbmc3k,full,19,20.459818043972707
pbmc3k,full,20,20.371872630780896
pbmc3k,full,21,20.474222896133433
pbmc3k,full,22,21.1330553449583
pbmc3k,full,23,20.319181197877178
pbmc3k,full,24,20.316906747536013
pbmc3k,full,25,21.16034874905231
pbmc3k,full,26,20.6751326762699
pbmc3k,full,27,20.3434420015163
pbmc3k,full,28,21.15693707354056
pbmc3k,full,29,20.15996967399545
pbmc3k,full,30,20.532979529946928
pbmc3k,full,31,20.657695223654283
pbmc3k,full,32,20.398786959818043
pbmc3k,full,33,20.970053070507962
pbmc3k,full,34,20.5117513267627
pbmc3k,full,35,20.60235026535254
pbmc3k,full,36,20.544351781652768
pbmc3k,full,37,20.721758908263837
pbmc3k,full,38,21.07316148597422
pbmc3k,full,39,21.122062168309323
pbmc3k,full,40,21.038286580742987
pbmc3k,full,41,20.39802880970432
pbmc3k,full,42,20.71076573161486
pbmc3k,full,43,20.50530705079606
pbmc3k,full,44,20.94313874147081
pbmc3k,full,45,20.85291887793783
pbmc3k,full,46,20.690295678544352
pbmc3k,full,47,20.89764973464746
pbmc3k,full,48,20.341167551175133
pbmc3k,full,49,20.37414708112206
pbmc3k,full,50,20.862774829416225
pbmc3k,full,51,21.113722517058378
pbmc3k,full,52,21.02653525398029
pbmc3k,full,53,20.813874147081123
pbmc3k,full,54,20.25663381349507
pbmc3k,full,55,20.853297952994694
pbmc3k,full,56,20.83434420015163
pbmc3k,full,57,20.537149355572403
pbmc3k,full,58,20.365049279757393
pbmc3k,full,59,20.96322971948446
pbmc3k,full,60,20.623199393479908
pbmc3k,full,61,20.606520090978012
pbmc3k,full,62,20.56595905989386
pbmc3k,full,63,20.7289613343442
pbmc3k,full,64,20.839272175890827
pbmc3k,full,65,20.319939347990903
pbmc3k,full,66,20.528430629264594
pbmc3k,full,67,20.482562547384383
pbmc3k,full,68,20.476876421531465
pbmc3k,full,69,20.487111448066717
pbmc3k,full,70,20.115617892342684
pbmc3k,full,71,21.208870356330554
