gene,norm,dist_from_centroid,cos_to_centroid,isolation_score,norm_zscore,dist_zscore,cos_zscore,isolation_zscore,anomaly_score,is_outlier,gene_class
A1BG,6.6395426,2.6486444,0.9221369,0.029931068420410156,-0.51650834,-0.07131535,-0.068875976,0.24931698739169147,0.5165083408355713,False,other
A1CF,6.68942,1.4871912,0.9756465,0.015935778617858887,-0.4743972,-1.3630253,0.64908385,-0.5156785412010048,1.3630253076553345,False,disease
A2M,6.2058787,2.154462,0.94852185,0.022902846336364746,-0.8826456,-0.6209201,0.28514156,-0.13485215409125667,0.8826456069946289,False,other
A2ML1,6.105445,2.217736,0.9458181,0.02410268783569336,-0.9674407,-0.55055004,0.24886458,-0.06926770425449642,0.9674407243728638,False,disease
A3GALT2,7.3970356,2.3040373,0.95092857,0.028764724731445312,0.12303411,-0.45457006,0.31743345,0.18556355895623575,0.45457005500793457,False,other
A4GALT,6.4205155,2.137535,0.94882834,0.035404324531555176,-0.70143026,-0.6397455,0.28925383,0.5484902457478934,0.7014302611351013,False,disease
A4GNT,7.472607,1.9956927,0.96552575,0.02227020263671875,0.18683827,-0.7974954,0.5132897,-0.1694330458233666,0.797495424747467,False,other
AAAS,6.776761,1.9995977,0.95641726,0.027505218982696533,-0.40065637,-0.7931526,0.39107746,0.11671780587622677,0.7931525707244873,False,disease
AACS,4.8048296,5.1798954,0.6468016,0.07747554779052734,-2.0655348,2.7438147,-3.7631612,2.8481423522495906,3.7631611824035645,True,other
AADAC,6.1186495,2.258688,0.94351256,0.02703988552093506,-0.9562922,-0.50500536,0.21792984,0.09128224701504509,0.9562922120094299,False,other
AADACL2,6.3207893,2.1383998,0.9489059,0.02385503053665161,-0.7856279,-0.63878375,0.2902943,-0.08280488205239701,0.7856279015541077,False,other
AADACL3,6.0645056,2.2191336,0.9460588,0.031242847442626953,-1.0020053,-0.54899573,0.2520939,0.3210200461103909,1.0020053386688232,False,disease
AADACL4,6.2971196,2.0018492,0.95560133,0.023464560508728027,-0.80561197,-0.7906485,0.38012984,-0.10414833614482703,0.8056119680404663,False,disease
AADAT,5.1895843,3.3877428,0.87213826,0.043420493602752686,-1.7406911,0.75067264,-0.739728,0.9866614863885317,1.740691065788269,False,other
AAGAB,8.233575,2.1143427,0.97914195,0.015215754508972168,0.82931435,-0.6655389,0.69598377,-0.5550357271934571,0.8293143510818481,False,disease
AAK1,8.073748,2.2262893,0.97023314,0.011358857154846191,0.69437414,-0.54103756,0.5764507,-0.7658573158689206,0.7658573158689206,False,constrained
AAMDC,6.39829,2.8994513,0.90452826,0.05208241939544678,-0.7201949,0.20761938,-0.30513826,1.460130388704851,1.460130388704851,False,other
AAMP,6.202411,2.3871374,0.9359547,0.037845611572265625,-0.8855732,-0.36215034,0.11652286,0.6819332609696532,0.8855732083320618,False,constrained
AANAT,6.655819,1.8806669,0.960888,0.03708469867706299,-0.5027664,-0.9254214,0.45106354,0.6403410559713383,0.925421416759491,False,other
AAR2,7.4520683,1.706781,0.9757518,0.020809173583984375,0.1694976,-1.1188085,0.650497,-0.24929424971798492,1.1188085079193115,False,disease
AARD,9.21043,3.2966924,0.9606484,0.016905486583709717,1.6540618,0.64941096,0.4478486,-0.46267340387391825,1.6540617942810059,False,other
AARS1,7.0780926,2.2964015,0.94596344,0.020366966724395752,-0.14624573,-0.46306226,0.25081435,-0.27346568704232294,0.46306225657463074,False,disease
AARS2,7.6610637,2.2414546,0.9592336,0.01917731761932373,0.34594992,-0.5241714,0.42886516,-0.3384930111502165,0.5241714119911194,False,disease
AARSD1,7.1318393,2.1995795,0.9512538,0.027125000953674316,-0.10086802,-0.57074285,0.32179683,0.09593473555786147,0.5707428455352783,False,other
AASDH,5.459083,2.9808838,0.9029769,0.053157687187194824,-1.5131564,0.2981846,-0.32595387,1.5189055240776852,1.5189055240776852,False,other
AASDHPPT,6.004807,2.808743,0.9101331,0.04728257656097412,-1.0524081,0.10673822,-0.22993553,1.1977665249962255,1.1977665249962255,False,other
AASS,6.7076535,2.0667615,0.953001,0.01980048418045044,-0.45900306,-0.7184563,0.34524038,-0.3044301486045966,0.7184563279151917,False,disease
AATF,7.2651668,3.1562867,0.9012152,0.0464746356010437,0.011698805,0.49325886,-0.349591,1.1536037223366487,1.1536037223366487,False,other
AATK,8.312144,2.8998783,0.94643587,0.013532161712646484,0.8956496,0.20809428,0.25715306,-0.6470624718575966,0.8956496119499207,False,disease
ABAT,4.9680066,4.4157205,0.7582971,0.06500661373138428,-1.9277664,1.8939378,-2.267181,2.1665788450885763,2.267180919647217,False,disease
ABCA1,6.3939424,1.3380817,0.9809383,0.014341950416564941,-0.7238657,-1.5288574,0.72008634,-0.60279866979688,1.5288573503494263,False,disease
ABCA10,6.944384,1.5819466,0.9737081,0.008118271827697754,-0.25913423,-1.2576431,0.62307554,-0.94299071719654,1.2576431035995483,False,disease
ABCA12,7.2322736,1.4973125,0.97929543,0.010476887226104736,-0.016072521,-1.3517689,0.6980431,-0.8140666106644765,1.3517688512802124,False,disease
ABCA13,8.543402,2.760619,0.96133554,0.015066444873809814,1.0908976,0.053217042,0.45706797,-0.563197130414574,1.090897560119629,False,disease
ABCA2,6.9330645,1.1783955,0.98549247,0.0129774808883667,-0.26869124,-1.7064524,0.78119123,-0.6773818404706563,1.7064523696899414,False,constrained
ABCA3,6.5008154,1.5841533,0.97230047,0.011693358421325684,-0.63363403,-1.255189,0.60418886,-0.7475731662174602,1.2551889419555664,False,disease
ABCA4,6.684322,1.1798892,0.98469436,0.010707080364227295,-0.47870168,-1.7047911,0.7704827,-0.8014840401096048,1.7047910690307617,False,disease
ABCA5,6.8514533,1.724165,0.96802324,0.009256482124328613,-0.3375946,-1.099475,0.54679954,-0.8807750860945642,1.0994750261306763,False,disease
ABCA6,6.992078,1.6338521,0.97232497,0.008501827716827393,-0.21886696,-1.1999164,0.6045176,-0.9220251963470839,1.1999163627624512,False,disease
ABCA7,6.391057,1.7972101,0.964317,0.023440182209014893,-0.7263017,-1.0182378,0.49707174,-0.10548087663082975,1.018237829208374,False,disease
ABCA8,6.7114534,1.5068021,0.97504705,0.007768988609313965,-0.45579484,-1.341215,0.64104086,-0.9620828620571171,1.3412150144577026,False,disease
ABCA9,6.7829137,1.5635228,0.9733796,0.007995963096618652,-0.3954618,-1.278133,0.61866814,-0.9496762259429401,1.2781330347061157,False,disease
ABCB1,5.9526753,2.619762,0.92309874,0.017265617847442627,-1.0964222,-0.103437014,-0.055970576,-0.442988294787296,1.0964221954345703,False,disease
ABCB10,6.1856117,2.0075011,0.9559349,0.023385703563690186,-0.8997568,-0.78436273,0.38460517,-0.10845872994184808,0.8997567892074585,False,other
ABCB11,6.1567316,2.375472,0.9367919,0.01341325044631958,-0.9241399,-0.37512395,0.127756,-0.6535622720277077,0.9241399168968201,False,disease
ABCB4,5.997258,2.5647216,0.92631334,0.016260266304016113,-1.0587815,-0.16465014,-0.012839019,-0.49794174314281686,1.0587815046310425,False,disease
ABCB5,6.235615,2.4306545,0.93337965,0.012683391571044922,-0.85753983,-0.31375277,0.08197251,-0.6934570354778383,0.8575398325920105,False,other
ABCB6,6.7459507,1.7057431,0.96814597,0.020929932594299316,-0.4266692,-1.1199628,0.54844624,-0.24269345014673424,1.1199628114700317,False,disease
ABCB7,6.1820955,1.9971296,0.9564552,0.026020407676696777,-0.90272546,-0.7958975,0.3915861,0.035556641947586225,0.9027254581451416,False,disease
ABCB8,6.0320325,2.1579611,0.94962054,0.02463710308074951,-1.0294219,-0.61702865,0.29988316,-0.04005607100877401,1.0294219255447388,False,other
ABCB9,6.089135,2.0253034,0.95584387,0.018505454063415527,-0.9812108,-0.764564,0.38338396,-0.3752176966226438,0.9812108278274536,False,other
ABCC1,6.014924,2.0643477,0.95464444,0.011459052562713623,-1.0438664,-0.7211408,0.36729082,-0.7603805418909974,1.0438663959503174,False,disease
ABCC10,6.3320675,2.1783302,0.94686973,0.02291792631149292,-0.77610594,-0.59437525,0.26297438,-0.13402786865614982,0.7761059403419495,False,other
ABCC11,6.6410303,1.916342,0.9593338,0.010296940803527832,-0.51525223,-0.8857453,0.43020952,-0.8239026491173915,0.8857452869415283,False,other
ABCC12,6.570506,1.9054718,0.95962274,0.009522795677185059,-0.574795,-0.8978346,0.43408665,-0.8662181401496738,0.8978345990180969,False,other
ABCC2,6.0062003,2.269617,0.94380003,0.009792447090148926,-1.0512317,-0.49285054,0.22178699,-0.8514787436736925,1.0512317419052124,False,disease
ABCC3,6.109653,1.9619359,0.9587147,0.01208639144897461,-0.9638879,-0.8350381,0.42190343,-0.7260896161815139,0.9638878703117371,False,other
ABCC4,5.826343,2.438914,0.9358469,0.016183197498321533,-1.2030832,-0.30456695,0.11507693,-0.5021543955838964,1.2030831575393677,False,disease
ABCC5,6.529868,1.8261493,0.9629211,0.009120583534240723,-0.60910517,-0.98605305,0.47834185,-0.8882034291461198,0.9860530495643616,False,constrained
ABCC6,6.6152945,1.9092077,0.9595612,0.016503989696502686,-0.53698075,-0.89367974,0.43326133,-0.4846195963279876,0.8936797380447388,False,disease
ABCC8,6.706582,1.8743991,0.9613454,0.009672939777374268,-0.45990768,-0.9323921,0.45719993,-0.8580111242957842,0.9323921203613281,False,disease
ABCC9,6.673561,2.0527003,0.9534611,0.010065913200378418,-0.4877869,-0.7340945,0.35141358,-0.836530832305036,0.836530832305036,False,disease
ABCD1,7.0561566,1.9164573,0.9624151,0.022117316722869873,-0.16476598,-0.8856171,0.47155285,-0.1777899317563666,0.8856170773506165,False,disease
ABCD2,7.047347,2.0161924,0.9582046,0.022185981273651123,-0.1722038,-0.7746967,0.41505927,-0.17403666368821222,0.7746967077255249,False,other
ABCD3,6.931649,2.0903056,0.95371956,0.0200921893119812,-0.26988614,-0.69227177,0.35488126,-0.2884852754053366,0.6922717690467834,False,constrained
ABCD4,6.342896,2.1942818,0.94603926,0.02818000316619873,-0.76696354,-0.57663465,0.2518316,0.15360213556335856,0.766963541507721,False,disease
ABCE1,5.373791,4.220899,0.7818516,0.058733582496643066,-1.5851673,1.6772673,-1.9511408,1.8236891362649303,1.9511407613754272,False,constrained
ABCF1,7.455133,1.8514214,0.9707038,0.014532685279846191,0.17208503,-0.9579468,0.58276546,-0.5923729251631179,0.95794677734375,False,other
ABCF2,6.9639406,1.9721006,0.9591504,0.018688976764678955,-0.24262288,-0.8237334,0.42774874,-0.36518617545784576,0.823733389377594,False,disease
ABCF3,6.99154,1.8545018,0.96418804,0.019072651863098145,-0.21932109,-0.9545208,0.49534112,-0.3442141385179935,0.9545208215713501,False,other
ABCG1,5.785769,2.1244266,0.9547168,0.023714900016784668,-1.2373393,-0.6543241,0.3682617,-0.09046454631301416,1.2373392581939697,False,disease
ABCG2,4.361197,4.928111,0.68682855,0.08610266447067261,-2.4400887,2.4637928,-3.226103,3.3197085561702484,3.3197085561702484,True,disease
ABCG4,5.639446,2.310199,0.94679976,0.027566730976104736,-1.3608782,-0.44771734,0.2620355,0.12008010852061507,1.3608782291412354,False,other
ABCG5,6.4785,1.9362136,0.95821536,0.01612532138824463,-0.65247476,-0.86364514,0.4152032,-0.5053179574712037,0.8636451363563538,False,disease
ABCG8,6.9036555,1.9118954,0.9610829,0.014585018157958984,-0.29352087,-0.8906906,0.4536779,-0.5895123614792294,0.8906906247138977,False,disease
ABHD1,5.708131,3.310788,0.8727098,0.056477904319763184,-1.3028883,0.66508734,-0.73205924,1.7003916737899005,1.7003916737899005,False,other
ABHD10,5.8751984,2.1984456,0.9492731,0.040660083293914795,-1.1618352,-0.5720039,0.29522148,0.8357748971764084,1.1618351936340332,False,other
ABHD11,6.042846,2.2849717,0.9426189,0.034410834312438965,-1.020292,-0.47577387,0.20593935,0.4941851483867847,1.020292043685913,False,disease
ABHD12,5.040267,4.384307,0.7620761,0.05494958162307739,-1.8667579,1.8590013,-2.2164767,1.6168521368666828,2.2164766788482666,False,disease
ABHD12B,6.2430205,1.8477314,0.96287453,0.026681065559387207,-0.8512872,-0.9620506,0.47771725,0.07166881492277999,0.9620506167411804,False,other
ABHD13,6.294492,2.04187,0.9537127,0.026545703411102295,-0.80783063,-0.7461393,0.3547893,0.06426979427800689,0.8078306317329407,False,constrained
ABHD14A,6.6916,2.032303,0.9544721,0.031032204627990723,-0.47255698,-0.7567792,0.36497876,0.3095061143804798,0.7567791938781738,False,other
ABHD14B,6.9726105,2.243128,0.94713473,0.029955506324768066,-0.23530301,-0.5223103,0.26653,0.25065278592289225,0.5223103165626526,False,other
ABHD15,6.0635896,3.2379117,0.8783389,0.04875791072845459,-1.0027786,0.5840381,-0.6565318,1.278409659738376,1.278409659738376,False,other
ABHD16A,6.6488447,1.92039,0.95918745,0.02939814329147339,-0.50865465,-0.88124335,0.42824617,0.22018680527592033,0.8812433481216431,False,disease
ABHD16B,7.2869973,1.9222673,0.9652647,0.02524775266647339,0.030130088,-0.87915546,0.5097868,-0.006677397954744768,0.8791554570198059,False,other
ABHD17A,4.8509307,5.1438775,0.6530953,0.06487876176834106,-2.0266123,2.7037575,-3.6787157,2.1595903381387576,3.678715705871582,True,other
ABHD17B,4.801558,4.202257,0.7878683,0.0695999264717102,-2.0682971,1.6565347,-1.8704118,2.417653582185956,2.417653582185956,False,other
ABHD17C,4.9297132,5.22818,0.64110214,0.06728708744049072,-1.9600971,2.7975144,-3.839633,2.2912316543659954,3.839632987976074,True,other
ABHD18,7.1784906,1.6976802,0.97206956,0.023479461669921875,-0.061480824,-1.12893,0.60109067,-0.10333382484531435,1.1289299726486206,False,disease
ABHD2,6.2749376,2.0054057,0.9555283,0.0303725004196167,-0.82434,-0.7866932,0.37915015,0.27344607012845484,0.8243399858474731,False,disease
ABHD3,5.859354,7.9928536,0.20502646,0.0909697413444519,-1.1752124,5.872246,-9.690637,3.5857474948622747,9.69063663482666,True,other
ABHD4,6.714315,1.9849303,0.956687,0.023978054523468018,-0.45337892,-0.8094649,0.3946963,-0.0760802767636204,0.8094648718833923,False,other
ABHD5,6.7344317,1.8515614,0.96240926,0.023388564586639404,-0.4363945,-0.95779103,0.4714745,-0.10830234377234164,0.9577910304069519,False,disease
ABHD6,6.3854985,1.9321306,0.9585142,0.026360690593719482,-0.7309947,-0.86818606,0.41921312,0.05415682198325757,0.8681860566139221,False,other
ABHD8,7.153389,1.6167684,0.9745347,0.021053314208984375,-0.08267386,-1.218916,0.6341663,-0.23594929658676933,1.2189160585403442,False,other
ABI1,8.511799,2.6176505,0.9669001,0.012056350708007812,1.0642157,-0.10578524,0.53173006,-0.7277316709613315,1.0642156600952148,False,constrained
ABI2,8.593461,2.6554286,0.96800685,0.010575294494628906,1.133162,-0.063770294,0.54657966,-0.8086875780424948,1.133162021636963,False,other
ABI3,8.460501,2.4396555,0.97302055,0.014366447925567627,1.0209051,-0.3037423,0.61385053,-0.6014596132204812,1.0209051370620728,False,other
ABI3BP,8.388703,2.809927,0.9535798,0.018961548805236816,0.9602875,0.10805499,0.35300586,-0.35028713476715995,0.9602875113487244,False,other
ABITRAM,5.837968,4.1497364,0.7930734,0.07519185543060303,-1.1932684,1.5981237,-1.800573,2.723313608531477,2.723313608531477,False,other
ABL1,8.434754,2.4674973,0.97098476,0.007400333881378174,0.99916786,-0.27277803,0.58653545,-0.9822338716070605,0.9991678595542908,False,constrained
ABL2,8.379271,2.3415458,0.9745296,0.006614565849304199,0.9523235,-0.412855,0.63409835,-1.0251846814529626,1.0251846814529626,False,disease
ABLIM1,6.049292,4.753623,0.7303891,0.056141197681427,-1.0148499,2.269736,-2.6416335,1.6819869764661122,2.6416335105895996,False,disease
ABLIM2,6.402209,1.831108,0.96286464,0.025893807411193848,-0.71688646,-0.9805383,0.4775845,0.028636553946926577,0.9805383086204529,False,other
ABLIM3,7.028092,1.5714507,0.9747515,0.020917296409606934,-0.18846071,-1.2693161,0.63707495,-0.243384155728721,1.2693160772323608,False,other
ABO,5.7591524,4.034049,0.80434656,0.05515986680984497,-1.2598114,1.469462,-1.6493165,1.6283465203254057,1.6493165493011475,False,other
ABR,5.270448,3.7573903,0.83359456,0.03391808271408081,-1.6724186,1.1617761,-1.2568843,0.46725088873449966,1.6724185943603516,False,constrained
ABRA,8.987457,2.9563124,0.96862483,0.010991871356964111,1.4658084,0.2708575,0.5548713,-0.7859171001533186,1.465808391571045,False,other
ABRACL,6.1627746,4.2239304,0.79054934,0.07820242643356323,-0.91903794,1.6806384,-1.8344395,2.8878742134398188,2.8878742134398188,False,other
ABRAXAS1,8.5198,2.5848196,0.96865463,0.014646708965301514,1.070971,-0.14229818,0.5552712,-0.586140284699247,1.0709710121154785,False,disease
ABRAXAS2,8.614693,2.567946,0.97267216,0.012928485870361328,1.1510876,-0.16106415,0.60917604,-0.680059953623454,1.1510876417160034,False,disease
ABT1,7.3245273,2.113672,0.9580584,0.035576820373535156,0.06181618,-0.6662848,0.4130975,0.5579190285510521,0.6662847995758057,False,other
ABTB1,5.5570416,3.759868,0.8316046,0.05823391675949097,-1.4304512,1.1645316,-1.2835845,1.7963769433696715,1.7963769433696715,False,other
ABTB2,6.368982,1.9319541,0.9585647,0.027972877025604248,-0.74493957,-0.8683823,0.4198905,0.14228042850013242,0.8683822751045227,False,disease
ABTB3,5.7930417,4.6905427,0.7315989,0.03752011060714722,-1.231199,2.1995814,-2.6254013,0.6641410761430985,2.625401258468628,False,other
ACAA1,6.313865,2.5911765,0.9238696,0.02861464023590088,-0.7914739,-0.13522829,-0.04562754,0.17735980114754413,0.791473925113678,False,other
ACAA2,6.65491,3.0108306,0.89952284,0.026852726936340332,-0.5035337,0.33148995,-0.37229797,0.08105198509316595,0.5035337209701538,False,other
ACACA,7.0249715,1.3308254,0.98206675,0.015089988708496094,-0.19109523,-1.5369275,0.735227,-0.5619102025613439,1.5369274616241455,False,constrained
ACACB,7.210409,1.2528242,0.9859181,0.013225257396697998,-0.034532387,-1.6236765,0.7869022,-0.6638381465823596,1.6236765384674072,False,disease
ACAD10,6.5236683,1.729523,0.9668102,0.020655453205108643,-0.61433965,-1.0935161,0.5305241,-0.2576967482837576,1.0935161113739014,False,other
ACAD11,6.2113276,2.176809,0.9473436,0.021099448204040527,-0.8780452,-0.59606695,0.26933232,-0.2334275696034781,0.8780452013015747,False,disease
ACAD8,5.425999,3.4330075,0.86410177,0.04255056381225586,-1.5410887,0.8010138,-0.8475568,0.939110316722982,1.5410887002944946,False,disease
ACAD9,5.7646933,2.6765692,0.9211204,0.03314352035522461,-1.2551333,-0.040258814,-0.08251473,0.42491259138583104,1.2551332712173462,False,disease
ACADL,6.404114,2.481168,0.9305255,0.023426711559295654,-0.7152781,-0.2575742,0.04367698,-0.10621719484558921,0.7152780890464783,False,other
ACADM,6.3857784,2.812371,0.9102037,0.024969875812530518,-0.7307584,0.11077312,-0.22898865,-0.02186640466805705,0.7307584285736084,False,disease
ACADS,5.724619,3.3922014,0.8655867,0.03871363401412964,-1.2889676,0.7556314,-0.8276329,0.7293801731888654,1.2889676094055176,False,disease
ACADSB,6.3774686,2.692552,0.91780114,0.022310256958007812,-0.7377743,-0.022483472,-0.12705064,-0.16724363945027654,0.7377743124961853,False,disease
ACADVL,5.463374,3.08324,0.8945092,0.0465315580368042,-1.5095335,0.41202003,-0.43956807,1.156715155500787,1.5095335245132446,False,disease
ACAN,7.5710053,2.5953655,0.94055814,0.039104342460632324,0.26991472,-0.13056949,0.17828915,0.7507366594620876,0.7507366594620876,False,constrained
ACAP1,7.3659887,1.577724,0.9786139,0.013514339923858643,0.096821606,-1.2623392,0.6888989,-0.6480366273718138,1.2623392343521118,False,disease
ACAP2,7.245203,1.5094103,0.9790853,0.012534797191619873,-0.005156347,-1.3383144,0.69522405,-0.7015793421565787,1.338314414024353,False,constrained
ACAP3,7.1215687,1.4500694,0.97948045,0.01636713743209839,-0.10953936,-1.4043102,0.7005255,-0.492100068102712,1.4043102264404297,False,other
ACAT1,5.223993,3.966362,0.8112908,0.0687943696975708,-1.7116404,1.3941839,-1.5561429,2.373621101334301,2.373621101334301,False,disease
ACAT2,6.508983,3.1088305,0.8910831,0.03137272596359253,-0.62673813,0.4404804,-0.4855371,0.3281193265969433,0.6267381310462952,False,disease
ACBD3,7.922031,1.7629656,0.98342013,0.015959084033966064,0.5662815,-1.0563229,0.7533859,-0.514404645528567,1.0563229322433472,False,disease
ACBD4,8.841334,2.8141718,0.96972024,0.011918067932128906,1.3424386,0.11277585,0.56956893,-0.735290335820809,1.3424385786056519,False,other
ACBD5,8.846013,2.87359,0.9670764,0.013063907623291016,1.3463887,0.17885779,0.5340957,-0.6726576749334827,1.3463886976242065,False,disease
ACBD6,7.7309294,1.8425585,0.97640586,0.01592731475830078,0.4049367,-0.9678036,0.65927255,-0.516141183619128,0.9678035974502563,False,disease
ACBD7,7.89318,2.6958876,0.94381547,0.031246304512023926,0.5419229,-0.018773923,0.22199412,0.32120901273187785,0.541922926902771,False,other
ACCS,5.0637064,4.861164,0.69768924,0.08952903747558594,-1.8469683,2.3893378,-3.080381,3.506997284380192,3.506997284380192,True,other
ACCSL,5.540875,2.6216471,0.92847335,0.04607439041137695,-1.4441005,-0.10134041,0.016142745,1.1317259488317382,1.4441004991531372,False,other
ACD,8.815258,2.9024339,0.96450275,0.013585269451141357,1.3204226,0.2109365,0.49956375,-0.6441595535861334,1.320422649383545,False,disease
ACE,7.2170553,1.9719616,0.96225554,0.023141980171203613,-0.028921116,-0.823888,0.46941197,-0.12178087675667731,0.8238880038261414,False,disease
ACE2,7.130235,1.8731354,0.9650043,0.022099852561950684,-0.10222232,-0.9337975,0.50629354,-0.17874453899939544,0.9337974786758423,False,other
ACER1,7.09772,2.5723314,0.9322617,0.0310591459274292,-0.1296744,-0.15618685,0.06697259,0.3109787508099987,0.3109787508099987,False,other
ACER2,5.8686814,4.398304,0.76670444,0.06088054180145264,-1.1673373,1.8745681,-2.154376,1.9410439242987159,2.1543760299682617,False,disease
ACER3,5.994169,3.530878,0.85375834,0.05090606212615967,-1.0613894,0.90986055,-0.98633885,1.3958296086761226,1.3958296086761226,False,disease
ACHE,6.743055,2.075515,0.952817,0.025056660175323486,-0.4291141,-0.7087211,0.3427716,-0.017122690859695255,0.7087211012840271,False,other
